Gene	log2FC
CD79A	8.73050828006763
PIM2	8.65276291893331
FKBP11	8.53814682470478
ITM2C	8.37873040172996
SEC11C	8.21281110411317
CD27	8.12950189014909
IKZF3	8.07977907005365
SKIL	8.04744733803194
MDM4	7.92120707512132
PBXIP1	7.80190007442852
ATM	7.79483240417862
SYNRG	7.7915266626305
GOLGB1	7.79108247502104
CYLD	7.78139089690765
ASH1L	7.73500749110478
SVIP	7.72089235245449
BDP1	7.71089045730058
ZBTB38	7.70649133922475
CD79B	7.69998519403171
EIF1AY	7.69160264136091
DNAJB9	7.68210208877029
ARID1B	7.64712150962098
MANF	7.63443253565533
RBM6	7.61390850239399
TMEM243	7.60743150371614
LMAN1	7.60335156165007
NUCB2	7.59614175019336
PIM1	7.59305281963733
OPTN	7.5661927586178
RBM23	7.56316050703417
PPM1K	7.53094627378428
UPF2	7.51811339282892
SAFB2	7.47973228688013
CHD2	7.45396669044251
MED4	7.44755573545517
ERLEC1	7.44605317309314
TMF1	7.43266614197339
ARF4	7.41914714654526
NOP56	7.38104860378233
KLF13	7.35209969105594
RSBN1L	7.34061251929996
SS18L2	7.31349445361412
UBE2J1	7.27176821959729
TMED4	7.26961287851633
ANAPC5	7.26688707610932
SDF2L1	7.25164945495821
CNPY2	7.23617716721222
VOPP1	7.2250211843682
TPD52	7.19049773889219
STUB1	7.17689704232213
UFM1	7.14489389500712
DERL1	7.14144051327176
DNAJC3	7.14027220618293
HM13	7.12288604549895
DDOST	7.11573554931717
ERGIC2	7.11192828141005
EMC7	7.04974740160941
XBP1	1.23654030547869
SSR4	1.05306014873869
HSP90B1	0.717121347541226
LTB	0.702215270342512
FKBP2	0.613443873263797
BIRC3	0.543816476272026
GZMK	0.524038736297654
EEF1G	0.407094798645739
LMNA	0.389141714360882
TNRC6B	0.378841540558533
EML4	0.360245703784045
NKTR	0.355320582169937
HERPUD1	0.344950855268242
TNFAIP8	0.336608686230175
FOXP1	0.325839653727199
SPCS3	0.319691709250201
SMCHD1	0.306647134741411
TTC3	0.305904131628441
PLP2	0.28940889797397
PDE4B	0.285527983517844
PSIP1	0.273873575829886
SPCS2	0.266864901285476
SOCS3	0.259210202226313
ACAP1	0.248774640832778
GPR183	0.247843571319996
MPHOSPH8	0.246032036779287
BTG2	0.242961690377135
AKAP9	0.242680355423346
CD55	0.240847409486179
SEC62	0.234645999783417
YPEL5	0.233569956316727
EIF4B	0.230310006627766
OCIAD2	0.229241598749615
STK17A	0.227022765427115
EEF2	0.224049925869727
TRA2A	0.220713401435225
RPL17	0.213720411054311
ZFP36L2	0.210695386243689
SLC38A1	0.205166089131118
HAX1	0.200771628336336
PRDX2	0.200139029595315
ARID5B	0.198617552559578
